Entity Couple,Annotator,1. Would you say these entities are closely related in any way?,2. Do you exactly know how they are connected?,3. Do you believe most people would be curious to discover more about their connection - if there were one?,Result,Surprisal,Annotation,S_corrected_Annotation
Entity Pair 1: Death_Star AND Lightsaber,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 1: Death_Star AND Lightsaber,Anonymous User 2,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 1: Death_Star AND Lightsaber,Anonymous User 3,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 2: 2012_NFL_season AND DeMeco_Ryans,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 2: 2012_NFL_season AND DeMeco_Ryans,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 2: 2012_NFL_season AND DeMeco_Ryans,Anonymous User 3,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 3: RuPaul's_Drag_Race_UK_(series_4) AND Surrey,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 3: RuPaul's_Drag_Race_UK_(series_4) AND Surrey,Anonymous User 2,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 3: RuPaul's_Drag_Race_UK_(series_4) AND Surrey,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 4: Ambergris AND Cephalopod,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 4: Ambergris AND Cephalopod,Anonymous User 2,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 4: Ambergris AND Cephalopod,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 5: Marc_Warren AND List_of_Agatha_Christie's_Poirot_episodes,Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 5: Marc_Warren AND List_of_Agatha_Christie's_Poirot_episodes,Anonymous User 2,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 5: Marc_Warren AND List_of_Agatha_Christie's_Poirot_episodes,Anonymous User 3,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 6: Nine_(Blink-182_album) AND Mark_Hoppus,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 6: Nine_(Blink-182_album) AND Mark_Hoppus,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
