Entity1,Entity2,ClickstreamEnt1Ent2,PopularityEnt1,PopularityEnt2,PageRankEnt1,PageRankEnt2,PageViewEnt1,PageViewEnt2,PopularityDiff,PopularitySum,CosineSimilarityEnt1Ent2,DBpediaSimilarityEnt1Ent2,DBpediaRelatednessEnt1Ent2,PalmaInterestingnessEnt1Ent2,PalmaInterestingness2Ent1Ent2,PalmaInterestingness3Ent1Ent2,PalmaInterestingness4Ent1Ent2,PalmaInterestingness5Ent1Ent2,Perceived_Relatedness,Subjective_Knowledge,Serendipity,Avg_Perceived_Relatedness,Avg_Subjective_Knowledge,Avg_Serendipity,Unnamed: 11,Legend
History_of_human_sexuality,I_Ching,10,148659.22,142000.43,0.0875357729079481,0.3388933413738818,13013,48123,6658.79,290659.65,0.38,0.0,0.44,14.21,0.48,0.11,0.18,0.41,0.3,0.3,0.6,0.6,0.4,0.5,nan,0.6 = moderate serendipity
Yogurt,Honey,15,0,0,0.9,,44446,49046,0,0,0.2,0.0,0.35,0,1,1,1,1,0.7,0.7,0.7,Avg_Perceived_Relatedness_pop,Avg_Subjective_Knowledge_pop,Avg_Serendipity_pop,nan,0.7 = high serendipity
Yohan_Blake,Usain_Bolt,473,1840249.5,830158.62,0.005039534033034133,0.138566290230683,9274,115032,1010090.89,2670408.12,0.65,0.8,0.11,7.47,0.76,0.22,0.29,0.42,0.7,0.5,0.6,0.59,0.438,0.572,nan,0.8-0.9 = very high serendipity
Geography_of_the_United_Kingdom,Ben_Nevis,102,472763.88,172787.23,0.02476289032145344,0.1575058517496076,11707,27215,299976.64,645551.11,0.38,0.0,0.21,3.6,0.6,0.15,0.14,0.32,0.6,0.5,0.5,nan,nan,nan,nan,nan
Jockstrap,BDSM,63,31919.76,617216.52,0.5877551020408164,0.3330516828938651,18761,205565,585296.76,649136.27,0.26,0.09,0.45,9.56,0.4,0.06,0.14,0.29,0.3,0.4,0.4,Avg_Perceived_Relatedness_unpop,Avg_Subjective_Knowledge_unpop,Avg_Serendipity_unpop,nan,nan
Christina_Pazsitzky,Hungarian_People's_Republic,87,48613.33,24.87,0.9,0.04020986925040858,43752,1,48588.46,48638.2,0.01,0.0,0,19.28,0.02,0.0,0.0,0.06,0.3,0.3,0.6,0.6046511628,0.3860465116,0.3860465116,nan,nan
Rudolf_Diesel,Carnot_cycle,160,116421.64,18808.89,0.143177851423954,0.9,16669,16928,97612.75,135230.53,0.21,0.11,0.21,4.01,0.11,0.04,0.04,0.09,0.7,0.4,0.5,nan,nan,nan,nan,nan
Martin_Landau,Woody_Allen,32,272932.3,257065.17,0.1642128834675006,0.744375447445612,44819,191353,15867.13,529997.47,0.33,0.29,0.41,4.7,0.13,0.03,0.04,0.09,0.5,0.5,0.5,Avg_Perceived_Relatedness_pop_unpop,Avg_Subjective_Knowledge_pop_unpop,Avg_Serendipity_pop_unpop,nan,nan
Superman_(1978_film),New_York_City_blackout_of_1977,20,585824.41,227563.75,0.1101012507796087,0.04947624503936234,64500,11259,358260.65,813388.16,0.01,0.15,0.59,24.8,0.79,0.1,0.24,0.5,0.8,0.5,0.8,0.6211538462,0.3788461538,0.4942307692,nan,nan
The_Unbearable_Lightness_of_Being,Anima_and_animus,382,88717.53,94037.68,0.2864259261525385,0.2925742199603604,25411,27513,5320.15,182755.2,0.19,0.0,0.4,8.45,0.44,0.05,0.15,0.34,0.5,0.4,0.7,nan,nan,nan,nan,nan
Patrick_Troughton,Baltimore,16,119716.73,675829.59,0.2127020933519225,0.1573355209066395,25464,106332,556112.85,795546.32,0.18,0.14,0.96,23.74,0.9,0.16,0.38,0.16,0.3,0.3,0.3,nan,nan,nan,nan,nan
Robert_Langdon,History_of_art,25,30152.37,154790.11,0.4150253753459727,0.1286645512077847,12514,19916,124637.74,184942.48,0.27,0.0,0.47,14.06,0.52,0.07,0.18,0.43,0.7,0.4,0.7,nan,nan,nan,nan,nan
Dolores_O'Riordan,Ali_Hewson,880,2.94,361687.16,0.3406739118228392,0.2127612155571532,1,76953,361684.23,361690.1,0.01,0.0,0,14.74,0.02,0.0,0.0,0.06,0.2,0.3,0.4,nan,nan,nan,nan,nan
Great_White,The_Station_nightclub_fire,650,88398.48,464868.22,0.3339650248322905,0.1202900030310717,29522,55919,376469.75,553266.7,0.48,0.18,0.18,0.86,0.66,0.15,0.13,0.27,0.9,0.5,0.7,nan,nan,nan,nan,nan
Steve_Albini_discography,Big_Black,28,16668.96,133005.0,0.3592906191670203,0.08008721295748325,5989,10652,116336.05,149673.96,0.28,0.11,0.16,2.68,0.32,0.08,0.06,0.12,0.7,0.7,0.5,nan,nan,nan,nan,nan
