"Entity1";"Entity2";"ClickstreamEnt1Ent2";"PopularityEnt1";"PopularityEnt2";"PageRankEnt1";"PageRankEnt2";"PageViewEnt1";"PageViewEnt2";"PopularityDiff";"PopularitySum";"CosineSimilarityEnt1Ent2";"DBpediaSimilarityEnt1Ent2";"DBpediaRelatednessEnt1Ent2";"PalmaInterestingnessEnt1Ent2";"PalmaInterestingness2Ent1Ent2";"PalmaInterestingness3Ent1Ent2";"PalmaInterestingness4Ent1Ent2";"PalmaInterestingness5Ent1Ent2";"Perceived_Relatedness";"Subjective_Knowledge";"Serendipity"
"Man_in_the_Mirror";"Nelson_Mandela";16;23872.48;1112022.03;0.7333548113;0.2227590755;17507;247713;1088149.55;1135894.52;0.17;0.09;0.53;20.47;0.48;0.09;0.18;0.41;0.5;0.3;0.8
"Lille";"Haifa";13;237383.73;191712.43;0.1371408201;0.1697073101;32555;32535;45671.31;429096.16;0.2;0.33;0.67;13.47;0.66;0.1;0.19;0.43;0.4;0.3;0.5
"Altamont_Free_Concert";"Hells_Angels";520;112257.94;115822.55;0.1953180243;0.7509677246;21926;86979;3564.61;228080.5;0.48;0.11;0.19;0.08;0.73;0.18;0.15;0.32;0.8;0.5;0.5
"Siege_of_Petersburg";"William_Tecumseh_Sherman";14;141074.84;616222.89;0.0973809346;0.1051421507;13738;64791;475148.05;757297.73;0.43;0.08;0.34;7.15;0.48;0.14;0.14;0.29;0.4;0.3;0.5
"Christmas";"Good_King_Wenceslas";26;1429170.53;110001.12;0.1684256666;0.2154614435;240709;23701;1319169.42;1539171.65;0.52;0.12;0.51;7.23;0.45;0.15;0.17;0.39;0.6;0.5;0.8
"Edmonton";"Harbin";44;517552.84;148564.79;0.1288409507;0.25570662;66682;37989;368988.05;666117.63;0.18;0.55;0.82;8.35;1.11;0.12;0.26;0.6;0.3;0.3;0.4
"Hudson's_Bay_Company";"Saks_Fifth_Avenue";709;754.71;94330.93;0.0304751732;0.1857079034;23;17518;93576.22;95085.65;0.06;0;0.33;12.28;0.36;0.06;0.13;0.28;0.7;0.5;0.2
"Endeavour_(TV_series)";"Oxford";13;321788.51;510735.26;0.109820577;0.1083222656;35339;55324;188946.74;832523.77;0.29;0.08;0.49;15.45;0.45;0.06;0.16;0.35;1;0.5;0.7
"Domestication_of_the_dog";"World_War_I";13;582015.02;6054174.71;0.0484094038;0.1268392534;28175;767907;5472159.69;6636189.72;0.46;0;0.88;22.52;0.97;0.08;0.37;0.49;0.5;0.3;0.9
"Scalp";"Dandruff";110;15554.23;43710;0.571356;0.9;8887;39339;28155.77;59264.23;0.26;0;0.23;5.65;0.32;0.09;0.1;0.21;0.8;0.8;0.6
"Karl_Popper";"Knight_Bachelor";37;52731.34;238413.9;0.7499145266;0.1332388772;39544;31766;185682.55;291145.24;0.18;0;0.57;18.02;0.63;0.08;0.23;0.52;0.6;0.5;0.4
"Osiris_myth";"Byblos";20;159367.93;36285.35;0.1002209137;0.4373114375;15972;15868;123082.58;195653.29;0.23;0.09;0.29;9.36;0.22;0.05;0.07;0.14;0.5;0.3;0.6
"Cities_of_Scotland";"Jubilee";15;0;0;0.0226148555;;9979;21352;0;0;0.02;0;0;0;1;1;1;1;0.4;0.1;0.6
"Lisa_Cameron";"Free_Church_of_Scotland_(since_1900)";60;11908.74;38533.39;0.0876666995;0.0660466181;1044;2545;26624.65;50442.13;0.21;0;0.32;9.55;0.35;0.06;0.12;0.25;0.4;0.1;0.3
"Leiden";"Zoeterwoude";22;93686.51;898.89;0.1987052265;0.9;18616;809;92787.63;94585.4;0.17;0.91;0.32;2.46;0.98;0.35;0.32;0.35;0.7;0.4;0.4
"Toroidal_inductors_and_transformers";"Q_factor";14;52028.53;65040.74;0.055450342;0.3388183878;2885;22037;13012.21;117069.28;0.25;0;0.23;10.82;0.3;0.09;0.1;0.2;0.7;0.4;0.3
"1971_NFL_Draft";"Archie_Manning";198;1832.56;135663.33;0.1233249913;0.9;226;122097;133830.78;137495.89;0.01;0;0.25;24.99;0.27;0.05;0.1;0.21;0.6;0.4;0.4
"David_Tennant";"David_Blair_(director)";29;529880.25;4799.22;0.4118685336;0.1006413395;218241;483;525081.03;534679.47;0.17;0;0.36;17.17;0.4;0.05;0.14;0.29;0.5;0.2;0.7
"Harry_Bradshaw_(football_manager)";"Arsenal_F.C.";32;1798.02;2074049.32;0.1440477074;0.1216403089;259;252288;2072251.3;2075847.34;0.48;0.13;0.43;5.96;0.44;0.14;0.14;0.31;0.8;0.6;0.6
"2007_NBA_All-Star_Game";"Amar'e_Stoudemire";24;23599.43;106.74;0.0916123918;0.7494553914;2162;80;23492.68;23706.17;0.01;0;0.29;37.13;0.32;0.06;0.12;0.26;0.9;0.5;0.4
"List_of_military_aircraft_of_Nazi_Germany";"Dornier_Do_335";49;72093.55;66310.41;0.0183511553;0.1752665855;1323;11622;5783.14;138403.97;0.27;0;0.24;7.04;0.33;0.1;0.11;0.22;0.8;0.5;0.5
"I'm_a_Celebrity...Get_Me_Out_of_Here!_(British_TV_series)";"Andy_Whyment";859;11549.61;7923.33;"8.658304130691277e-05";0.9;1;7131;3626.27;19472.94;0.01;0;0;11.28;0.02;0;0;0.06;0.8;0.2;0.5
"How_Would_You_Feel_(Paean)";"Ed_Sheeran";10;19338733.98;1951156.81;"3.397326839362225e-05";0.1119720356;657;218475;17387577.17;21289890.79;0.57;0;0.35;8.44;0.87;0.21;0.23;0.54;0.8;0.5;0.6
"Avshalom_Cave";"Beit_Shemesh";15;37338.04;1872397.94;0.0127483915;0.0026698384;476;4999;1835059.89;1909735.98;0.17;0.38;0.3;5.14;0.37;0.09;0.08;0.15;0.5;0.2;0.7
"Anacondas:_Trail_of_Blood";"Syfy";11;53138.78;143458.8;0.0881841775;0.136645507;4686;19603;90320.01;196597.58;0.01;0;0.42;60.51;0.46;0.08;0.18;0.41;0.5;0.4;0.3
"Law_and_Justice";"Senate_2001";14;435710.72;194.44;0.059580815;0.9;25960;175;435516.28;435905.17;0.32;0;0.27;10.74;0.41;0.11;0.13;0.27;0.6;0.3;0.6
"The_Golden_Turkey_Awards";"Candice_Bergen";13;25602.76;155455.88;0.0713594984;0.480509337;1827;74698;129853.12;181058.63;0.22;0.15;0;7.54;0.32;0.06;0.08;0.16;0.5;0.3;0.4
"Taking_Back_Sunday";"152_(album)";2454;187597.63;6930.1;0.1072934667;0.213561033;20128;1480;180667.53;194527.73;0.01;0;0;12.23;0.02;0;0;0.06;0.8;0.5;0.4
"The_Karate_Kid";"Amon_Miyamoto";10;865916.19;2847.89;0.135837626;0.1081502169;117624;308;863068.3;868764.08;0.01;0.12;0.39;31.04;0.54;0.07;0.15;0.33;0.8;0.4;0.9
