Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;Perceived_Relatedness;Subjective_Knowledge;Serendipity
Carmen_Ejogo;Perfume_(2001_film);33;36590;4520;0.5;0.3;0.4
Savitri_(actress);Pelli_Chesi_Choodu;191;44433.87;2122;0.6;0.4;0.1
Senate_Report_on_Iraqi_WMD_Intelligence;Colin_Powell;13;1481;112751;0.8;0.6;0.4
PAOK_FC;Vale_of_Tempe;14;54624;1883;0.4;0.3;0.4
George_Soros_conspiracy_theories;Color_of_Change;69;12376;1550;0.6;0.5;0.9
Chetak_(disambiguation);Aerospatiale_Alouette_III;12;34.21;16041;0.4;0.4;0.4
Alhambra;Ibn_al-Jayyab;14;88422.94;130;0.6;0.5;0.4
Montevideo_City_Torque;Tiago_Palacios;23;14337;261;0.6;0.4;0.5
Mortal_Kombat_(2021_film);Benjamin_Wallfisch;56;137015;3547;0.8;0.6;0.5
Nightmare_Alley_(novel);Mentalism;11;4542.86;12518.57;0.8;0.3;0.7
Transition_Korea;Pragmatism;11;2030;24313.37;0.6;0.3;0.7
Gang_of_Eight_(immigration);John_Boehner;33;2825;143843;0.6;0.4;0.5
Tauba_Tauba;Antara_Biswas;75;2159;45722;0.4;0.2;0.2
Polydimethylsiloxane;Passive_daytime_radiative_cooling;33;12162.11;3982;0.7;0.3;0.5
Lee_Reherman;Hip_replacement;16;2355;18164;0.4;0.2;0.6
Michael_Ontkean;A_Chance_of_Snow;13;16579;257;0.6;0.6;0.3
Saint_Martin_(island);Chutney_music;13;39070.94;3246;0.4;0.3;0.6
September_2012_raid_on_Camp_Bastion;Haqqani_network;18;3033;13267;0.7;0.4;0.6
Conservative_A-List;Liz_Truss;89;1040;173284;0.8;0.6;0.4
Bharat_Ane_Nenu;Jayalalita;45;29170;2657.89;0.2;0.2;0.3
Burning_Man;Dana_Harrison;21;76312;157;0.6;0.4;0.7
Manuel_Noriega;Dignity_Battalions;18;73462;674;0.7;0.4;0.4
KB_Mashinostroyeniya;Active_protection_system;13;1311;16440;0.6;0.3;0.3
Kiichi_Miyazawa;George_H._W._Bush;39;4049;333833;0.6;0.5;0.6
Operation_Sangaris;Dassault_Rafale;12;1114;119720;0.6;0.5;0.2
Rivers_of_Jammu_and_Kashmir;Rambi_Ara;42;3094;270;0.6;0.5;0.3
Oscilloscope_(company);Not_Your_Typical_Bigfoot_Movie;32;2258.41;194;0.6;0.4;0.2
Fuji_Rock_Festival;Mount_Naeba;27;2316;252;0.4;0.3;0.5
Ranulf_Flambard;Battle_of_Tinchebray;24;1923;2254;0.5;0.2;0.3
Lokanathan_IAS;Gayatri_Jayaraman;75;740;4662;0.5;0.2;0.3
Abdul_Carter;Wyndmoor,_Pennsylvania;54;1457;851.18;0.5;0.5;0.2
The_Arts_Club;Dover_Street;11;1262;747;0.8;0.6;0.4
Herbie_Armstrong;Yellow_Dog_(band);10;335;695.45;0.6;0.2;0.5
Bill_Janklow;Mark_V._Meierhenry;10;1160;87;0.5;0.3;0.2
Port_Royale_2;Ascaron;13;571;567.89;0.8;0.5;0.5
Lal_Baadshah;Jack_Gaud;42;4395;4581;0.6;0.3;0.2
United_States_Constabulary;Ernest_N._Harmon;14;1320;1507;0.6;0.4;0.4
Alms_for_Jihad;Rachel_Ehrenfeld;11;398;423;0.4;0.3;0.3
Danny_Alexander;Colonsay;16;2929;1969.7;0.6;0.4;0.4
Fiacre_Kelleher;Blackrock,_Cork;35;1740;648.21;0.7;0.4;0.4
Did_I_Shave_My_Legs_for_This?;How_Do_I_Get_There;13;1;965;0.7;0.3;0.7
James_Botham;Mason_Grady;11;1565;1989;0.4;0.3;0.4
Slowly_I_Turned;Joey_Faye;29;3228;864;0.6;0.6;0.4
USS_Salt_Lake_City_(CA-25);Pensacola-class_cruiser;308;2314.21;4156;0.6;0.4;0.4
Trolley_pole;Charles_Joseph_Van_Depoele;14;3133;231;0.4;0.2;0.7
FULRO_insurgency;Y_Bham_Enuol;53;1483;391;0.5;0.3;0.3
Chimera_Linux;Musl;14;1080;3469.47;0.7;0.6;0.3
Year_of_the_Cat_(album);Andrew_Powell;22;4032.23;1698;0.7;0.5;0.3
The_Front_Porch;Old_King_Clancy;14;697;1271;0.3;0.3;0.4
Remstar_Media_Group;Max_(Canadian_TV_channel);12;313;647;0.7;0.2;0.5
Bargur_Assembly_constituency;D._Mathiazhagan;45;839;252.86;0.6;0.4;0.2
Sgares;N0thing;14;422.11;665.79;0.6;0.5;0.5
M._P._Saminathan;Muthur;11;1113.61;322.11;0.7;0.5;0.2
Davey_Graham;Wizz_Jones;31;2504;1058;0.7;0.4;0.4
Matt_Mays;When_the_Angels_Make_Contact;22;1290;102;0.6;0.6;0.2
Nobody_Knows_Anybody;Mateo_Gil;33;611;944;0.7;0.5;0.1
Jackie_Toledo;Lindsay_Cross;15;262;283;0.5;0.2;0.6
J._V._Somayajulu;Ondagona_Baa;27;3567;1198;0.5;0.3;0.1
The_David_Letterman_Show;Biff_Henderson;20;4568;1127;0.7;0.5;0.3
Raeesah_Khan;Daniel_Goh;40;1297;528;0.3;0.3;0.5
