"Entity1";"Entity2";"ClickstreamEnt1Ent2";"PopularityEnt1";"PopularityEnt2";"PageRankEnt1";"PageRankEnt2";"PageViewEnt1";"PageViewEnt2";"PopularityDiff";"PopularitySum";"CosineSimilarityEnt1Ent2";"DBpediaRelatednessEnt1Ent2";"PalmaInterestingnessEnt1Ent2";"PalmaInterestingness2Ent1Ent2";"PalmaInterestingness3Ent1Ent2";"PalmaInterestingness4Ent1Ent2";"PalmaInterestingness5Ent1Ent2";"PalmaInterestingness6Ent1Ent2";"PalmaInterestingness7Ent1Ent2"
"http://dbpedia.org/resource/Giacomo_Casanova";"http://dbpedia.org/resource/Zanetta_Farussi";347;5197519.76;948.89;0.0081156017;0.9;42181;854;5196570.87;5198468.65;0.44;0.26;0.1531375219;0.27;0.07;0.07;0.15;0.13;0.12
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Mileva_Marić";16616;2747813.11;34580;0.1535068007;0.9;421808;31122;2713233.11;2782393.11;0.67;0.31;0.3343114045;0.27;0.06;0.06;0.15;0.07;0.15
"http://dbpedia.org/resource/Venice";"http://dbpedia.org/resource/Carlo_Goldoni";25;744939.19;4239.77;0.1423874612;0.8908491772;106070;3777;740699.41;749178.96;0.35;0.48;0.2902408249;0.38;0.07;0.14;0.31;0.12;0.14
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Magnetism";11;1350920.3;24084.44;0.2197598183;0.9;296878;21676;1326835.86;1375004.75;0.22;0.42;0.5158618369;0.44;0.05;0.15;0.35;0.15;0.11
"http://dbpedia.org/resource/Giacomo_Casanova";"http://dbpedia.org/resource/Lorenzo_Da_Ponte";11;5197519.76;10799.22;0.0081156017;0.3401173047;42181;3673;5186720.54;5208318.97;0.29;0.3;0.1974286032;0.32;0.1;0.12;0.26;0.16;0.11
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Radiation";95;2747813.11;107750.79;0.1535068007;0.3544753523;421808;38195;2640062.32;2855563.91;0.22;0.41;0.5261986983;0.23;0.03;0.08;0.18;0.15;0.11
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/UNESCO";38;2747813.11;370180.7;0.1535068007;0.3184066591;421808;117868;2377632.41;3117993.81;0.23;0.73;0.8198852555;0.51;0.06;0.19;0.29;0.15;0.15
"http://dbpedia.org/resource/Giacomo_Casanova";"http://dbpedia.org/resource/Lena_Olin";18;5197519.76;270597.69;0.0081156017;0.1379723512;42181;37335;4926922.07;5468117.45;0.19;0.45;0.6942349703;0.39;0.05;0.14;0.32;0.17;0.11
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Satyendra_Nath_Bose";147;2747813.11;135284.54;0.1535068007;0.1884324763;421808;25492;2612528.58;2883097.65;0.43;0.34;0;0.26;0.07;0.08;0.18;0.12;0.13
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Matteucci_Medal";111;2747813.11;4318.1;0.1535068007;0.2936477066;421808;1268;2743495.01;2752131.21;0.09;0.43;1;0.23;0.04;0.08;0.19;0.15;0.1
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Matteucci_Medal";60;1350920.3;4318.1;0.2197598183;0.2936477066;296878;1268;1346602.2;1355238.4;0.13;0.3;0.6638841552;0.19;0.03;0.06;0.13;0.16;0.09
"http://dbpedia.org/resource/Carlo_Goldoni";"http://dbpedia.org/resource/Commedia_dell'arte";23;4239.77;11.66;0.8908491772;0.68597;3777;8;4228.11;4251.44;0.06;0.33;0.7294134726;0.26;0.04;0.1;0.21;0.05;0.09
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Frédéric_Joliot-Curie";91;1350920.3;11825.24;0.2197598183;0.7484835388;296878;8851;1339095.06;1362745.55;0.39;0.19;0.2033623294;0.33;0.08;0.08;0.17;0.14;0.11
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Lise_Meitner";46;1350920.3;308119.13;0.2197598183;0.136151883;296878;41951;1042801.17;1659039.43;0.3;0.25;0.0767459059;0.23;0.07;0.07;0.15;0.15;0.1
"http://dbpedia.org/resource/Carlo_Goldoni";"http://dbpedia.org/resource/Venetian_language";20;4239.77;135670.1;0.8908491772;0.1221197594;3777;16568;131430.33;139909.88;0.27;0.29;0.1790803564;0.25;0.07;0.09;0.19;0.15;0.11
"http://dbpedia.org/resource/Nazi_Germany";"http://dbpedia.org/resource/Albert_Einstein";29;4096580.48;2747813.11;0.0792578107;0.1535068007;324686;421808;1348767.36;6844393.59;0.37;0.66;0.4690890273;0.5;0.05;0.18;0.42;0.12;0.16
"http://dbpedia.org/resource/Linus_Pauling";"http://dbpedia.org/resource/Albert_Einstein";24;354923.71;2747813.11;0.0799805677;0.1535068007;28387;421808;2392889.4;3102736.83;0.24;0.4;0.458016771;0.32;0.04;0.11;0.25;0.16;0.11
"http://dbpedia.org/resource/Atom";"http://dbpedia.org/resource/Albert_Einstein";47;356340.88;2747813.11;0.1991099106;0.1535068007;70951;421808;2391472.24;3104153.99;0.36;0.32;0.083754805;0.26;0.07;0.09;0.2;0.13;0.12
"http://dbpedia.org/resource/Physics";"http://dbpedia.org/resource/Albert_Einstein";296;575025.67;2747813.11;0.1896663156;0.1535068007;109063;421808;2172787.45;3322838.78;0.43;0.37;0.0435836086;0.22;0.06;0.07;0.16;0.11;0.13
"http://dbpedia.org/resource/List_of_multiple_discoveries";"http://dbpedia.org/resource/Albert_Einstein";12;11216.91;2747813.11;0.2279593639;0.1535068007;2557;421808;2736596.2;2759030.03;0.48;0.44;0.0642037183;0.53;0.15;0.19;0.42;0.12;0.15
"http://dbpedia.org/resource/Lise_Meitner";"http://dbpedia.org/resource/Albert_Einstein";117;308119.13;2747813.11;0.136151883;0.1535068007;41951;421808;2439693.98;3055932.25;0.26;0.34;0.3226930212;0.18;0.04;0.06;0.14;0.15;0.11
