"Entity1";"Entity2";"ClickstreamEnt1Ent2";"PopularityEnt1";"PopularityEnt2";"PopularityDiff";"PopularitySum";"CosineSimilarityEnt1Ent2";"DBpediaSimilarityEnt1Ent2";"DBpediaRelatednessEnt1Ent2";"PalmaInterestingnessEnt1Ent2";"Perceived_Relatedness";"Subjective_Knowledge";"Serendipity";"Avg_Perceived_Relatedness";"Avg_Subjective_Knowledge";"Avg_Serendipity";;"Legend"
"History_of_human_sexuality";"I_Ching";10;4673.67;14888;10214.33;19561.67;0.38;0;0.44;11.8048821862;0.3;0.3;0.6;0.6;0.4;0.5;;"0.6 = moderate serendipity"
"Yogurt";"Honey";15;24509.47;21167.33;3342.14;45676.8;0.2;0;0.35;17.7480561767;0.7;0.7;0.7;"Avg_Perceived_Relatedness_pop";"Avg_Subjective_Knowledge_pop";"Avg_Serendipity_pop";;"0.7 = high serendipity"
"Yohan_Blake";"Usain_Bolt";473;2328.33;51552;49223.67;53880.33;0.65;0.8;0.11;15.5421927457;0.7;0.5;0.6;0.59;0.438;0.572;;"0.8-0.9 = very high serendipity"
"Geography_of_the_United_Kingdom";"Ben_Nevis";102;4526.33;7762.67;3236.34;12289;0.38;0;0.21;5.2138006116;0.6;0.5;0.5;"nan";"nan";"nan";;
"Jockstrap";"BDSM";63;13413.84;197901.5;184487.66;211315.34;0.26;0.09;0.45;15.9043668471;0.3;0.4;0.4;"Avg_Perceived_Relatedness_unpop";"Avg_Subjective_Knowledge_unpop";"Avg_Serendipity_unpop";;
"Christina_Pazsitzky";"Hungarian_People's_Republic";87;28519.67;0;28519.67;28519.67;0;0;0;0;0.3;0.3;0.6;0.6046511628;0.3860465116;0.3860465116;;
"Rudolf_Diesel";"Carnot_cycle";160;5286.33;9832.67;4546.34;15119;0.21;0.11;0.21;7.200389298;0.7;0.4;0.5;"nan";"nan";"nan";;
"Martin_Landau";"Woody_Allen";32;14059.67;55247.67;41188;69307.34;0.33;0.29;0.41;6.2791009955;0.5;0.5;0.5;"Avg_Perceived_Relatedness_pop_unpop";"Avg_Subjective_Knowledge_pop_unpop";"Avg_Serendipity_pop_unpop";;
"Superman_(1978_film)";"New_York_City_blackout_of_1977";20;14320.33;3504;10816.33;17824.33;0;0.15;0.59;0;0.8;0.5;0.8;0.6211538462;0.3788461538;0.4942307692;;
"The_Unbearable_Lightness_of_Being";"Anima_and_animus";382;8062;8696.67;634.67;16758.67;0.19;0;0.4;17.8758493997;0.5;0.4;0.7;;;;;
"Patrick_Troughton";"Baltimore";16;8887;81091.38;72204.38;89978.38;0.18;0.14;0.96;24.5743973893;0.3;0.3;0.3;;;;;
"Robert_Langdon";"History_of_art";25;5136.33;7599.33;2463;12735.66;0.27;0;0.47;15.3095493106;0.7;0.4;0.7;;;;;
"Dolores_O'Riordan";"Ali_Hewson";880;0;10432;10432;10432;0;0;0;0;0.2;0.3;0.4;;;;;
"Great_White";"The_Station_nightclub_fire";650;7030.33;10782.33;3752;17812.66;0.48;0.18;0.18;1.8038521703;0.9;0.5;0.7;;;;;
"Steve_Albini_discography";"Big_Black";28;1358;3099.67;1741.67;4457.67;0.28;0.11;0.16;2.7997789229;0.7;0.7;0.5;;;;;
"Morten_Harket";"Simon_&_Garfunkel";23;10858.67;25222;14363.33;36080.67;0.17;0.1;0.55;18.5910120497;0.3;0.3;0.5;;;;;
"Moonshine";"Grain";116;58117.43;29671.93;28445.5;87789.36;0.19;0;0.49;23.126420808;0.8;0.6;0.7;;;;;
"Antibiotic";"Syphilis";11;39110.53;72596.32;33485.79;111706.85;0.33;0;0.34;12.6387859599;1;0.7;0.8;;;;;
"Barry_Goldwater";"George_H._W._Bush";12;29482.11;115257.33;85775.22;144739.44;0.27;0.3;0.33;5.4900080712;0.8;0.4;0.7;;;;;
"Stereotypes_of_Jews";"Upper_middle_class";10;10006.67;4136;5870.67;14142.67;0.27;0.18;0.57;11.8983657918;0.8;0.7;0.6;;;;;
"Ulster_Scots_people";"Plantation_of_Ulster";669;4438;5451;1013;9889;0.71;0;0.14;4.0309410429;0.8;0.4;0.7;;;;;
"B_Praak";"Chandigarh";61;0;51511.11;51511.11;51511.11;0.11;0;0.47;0;0.4;0.2;0.4;;;;;
"Alan_Shepard";"Deke_Slayton";346;12262.33;6050.67;6211.66;18313;0.43;0.72;0.09;12.2997727279;0.7;0.6;0.5;;;;;
"Flashlight";"Tag_(game)";29;105607.56;12352.68;93254.88;117960.24;0.26;0;0;3.479116071;0.6;0.6;0.6;;;;;
"Shingon_Buddhism";"Heart_Sutra";18;2679;5362.67;2683.67;8041.67;0.27;0.2;0.23;3.4902571341;0.5;0.5;0.6;;;;;
"Daniil_Kvyat";"24_Hours_of_Le_Mans";117;5360.33;11341;5980.67;16701.33;0.22;0.13;0.4;11.5788314372;0.5;0.4;0.5;;;;;
"Twelve_Tribes_communities";"Crucifixion_of_Jesus";10;9338.67;29296;19957.33;38634.67;0.39;0.13;0.44;8.7548289077;0.7;0.5;0.8;;;;;
"Shabazz_Napier";"Minnesota_Timberwolves";14;4585;20652.67;16067.67;25237.67;0.15;0.21;0.32;9.85301251;0.6;0.4;0.4;;;;;
"Thomas_Piketty";"May_68";14;4523;103;4420;4626;0.3;0;0.52;14.3470517173;0.6;0.3;0.6;;;;;
"Isle_of_Dogs_(film)";"Greta_Gerwig";761;70677.48;18037.67;52639.81;88715.15;0;0;0.29;0;0.7;0.5;0.6;;;;;
"Gold_reserve";"Japan";10;6815.67;440639.66;433823.99;447455.33;0.27;0.1;0.89;24.6387990885;0.6;0.3;0.6;;;;;
"Festus_Ezeli";"List_of_NBA_champions";15;3365.33;71022;67656.67;74387.33;0.14;0;0.36;24.2192517102;0.7;0.5;0.5;;;;;
"Michael_Foot";"1960_Ebbw_Vale_by-election";17;5182.33;0;5182.33;5182.33;0.63;0;0.24;0;0.3;0.2;0.5;;;;;
"Uluru";"Kingfisher";15;32001.05;8730;23271.05;40731.05;0.19;0;0.57;23.571045376;0.4;0.3;0.5;;;;;
"Peter_III_of_Russia";"Lutheranism";15;13282.67;64184.03;50901.36;77466.7;0.36;0.08;0.47;12.150161851;0.7;0.5;0.5;;;;;
"Samuel_L._Jackson";"A_Time_to_Kill_(1996_film)";491;62454.33;12994;49460.33;75448.33;0;0.14;0.36;0;1;0.6;0.7;;;;;
"Saracen";"Hagar";39;24572.36;12259.06;12313.3;36831.42;0.21;0.09;0.35;12.9663986657;0.3;0.3;0.4;;;;;
"Sanjay_Khan";"Metro-Goldwyn-Mayer";10;14688.67;50806.98;36118.31;65495.65;0.14;0.1;0.84;25.7894135996;0.4;0.3;0.5;;;;;
"Man_in_the_Mirror";"Nelson_Mandela";16;5085;164598.42;159513.42;169683.42;0.17;0.09;0.53;21.6281011647;0.5;0.3;0.8;;;;;
"Lille";"Haifa";13;25089.47;21492.31;3597.16;46581.78;0.2;0.33;0.67;12.6115033978;0.4;0.3;0.5;;;;;
"Altamont_Free_Concert";"Hells_Angels";520;7338.67;30997.33;23658.66;38336;0.48;0.11;0.19;0.205728147;0.8;0.5;0.5;;;;;
"Siege_of_Petersburg";"William_Tecumseh_Sherman";14;4646;21339;16693;25985;0.43;0.08;0.34;6.3614452847;0.4;0.3;0.5;;;;;
"Christmas";"Good_King_Wenceslas";26;292495.73;8715.33;283780.4;301211.06;0.52;0.12;0.51;9.2121523795;0.6;0.5;0.8;;;;;
"Edmonton";"Harbin";44;53848.67;22371.43;31477.24;76220.1;0.18;0.55;0.82;11.6364575056;0.3;0.3;0.4;;;;;
"Hudson's_Bay_Company";"Saks_Fifth_Avenue";709;0;9131.67;9131.67;9131.67;0.06;0;0.33;0;0.7;0.5;0.2;;;;;
"Endeavour_(TV_series)";"Oxford";13;20459.67;52955.86;32496.19;73415.53;0.29;0.08;0.49;14.5786864706;1;0.5;0.7;;;;;
"Domestication_of_the_dog";"World_War_I";13;179;555004.67;554825.67;555183.67;0.46;0;0.88;21.625965676;0.5;0.3;0.9;;;;;
"Scalp";"Dandruff";110;9515.29;20700.53;11185.24;30215.82;0.26;0;0.23;10.8350110069;0.8;0.8;0.6;;;;;
"Karl_Popper";"Knight_Bachelor";37;22049.67;7594.33;14455.34;29644;0.18;0;0.57;23.4757329688;0.6;0.5;0.4;;;;;
"Osiris_myth";"Byblos";20;6925;12012.5;5087.5;18937.5;0.23;0.09;0.29;9.8780833696;0.5;0.3;0.6;;;;;
"Cities_of_Scotland";"Jubilee";15;0;6304.33;6304.33;6304.33;0.02;0;0;0;0.4;0.1;0.6;;;;;
"Lisa_Cameron";"Free_Church_of_Scotland_(since_1900)";60;316.33;741.67;425.34;1058;0.21;0;0.32;11.5090872923;0.4;0.1;0.3;;;;;
"Leiden";"Zoeterwoude";22;33815.83;494.74;33321.09;34310.57;0.17;0.91;0.32;3.046391152;0.7;0.4;0.4;;;;;
"Toroidal_inductors_and_transformers";"Q_factor";14;1793.67;11061.33;9267.66;12855;0.25;0;0.23;10.6827984536;0.7;0.4;0.3;;;;;
"1971_NFL_Draft";"Archie_Manning";198;946.67;15667.67;14721;16614.34;0;0;0.25;0;0.6;0.4;0.4;;;;;
"David_Tennant";"David_Blair_(director)";29;49408.33;517.27;48891.06;49925.6;0.17;0;0.36;21.1089152802;0.5;0.2;0.7;;;;;
