Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval;ground truth (threshold 0.79);ground truth confidence values
Chanakya_(TV_series)'; 'Alexander_the_Great';15;1831;113391.33;111560.33;115222.33;0.26;0.08;0.5;14.3;1;0;0.78
Great_Wall_of_China'; 'Alexander_the_Great';23;80818.67;113391.33;32572.66;194210;0.39;0.14;0.53;8.48;1;1;0.9
Roxana'; 'Alexander_the_Great';591;14588.98;113391.33;98802.35;127980.31;0.59;0.33;0.26;1.18;1;1;0.8
Akhenaten'; 'Alexander_the_Great';15;30504.74;113391.33;82886.59;143896.07;0.37;0.09;0.44;9.67;1;0;0.75
Apollo'; 'Alexander_the_Great';11;117113.39;113391.33;3722.06;230504.72;0.44;0.09;0.3;5.28;1;0;0.65
Pyrrho'; 'Alexander_the_Great';32;2330;113391.33;111061.33;115721.33;0.32;0.33;0.37;3.27;0;0;0.78
Anatolian_languages'; 'Alexander_the_Great';14;2592.67;113391.33;110798.66;115984;0.32;0.12;0.41;9.78;1;1;0.83
Classical_antiquity'; 'Alexander_the_Great';40;15062.33;113391.33;98329;128453.66;0.56;0.09;0.3;1.73;0;1;0.9
Lighthouse_of_Alexandria'; 'Alexander_the_Great';127;20576.67;113391.33;92814.66;133968;0.39;0.14;0.4;4.02;1;0;0.73
Pashtuns'; 'Alexander_the_Great';15;25138.29;113391.33;88253.04;138529.62;0.45;0.12;0.39;6.14;1;1;0.81
Karachi'; 'Alexander_the_Great';10;64508.55;113391.33;48882.78;177899.88;0.3;0.14;0.6;15.43;1;1;0.81
Central_Macedonia'; 'Alexander_the_Great';15;1372.67;113391.33;112018.66;114764;0.27;0.15;0.41;10.06;0;1;0.83
Dhana_Nanda'; 'Alexander_the_Great';66;11795;113391.33;101596.33;125186.33;0.25;0.52;0.38;1.62;1;1;0.83
Achaemenid_Empire'; 'Alexander_the_Great';1373;29533;113391.33;83858.33;142924.33;0.58;0.14;0.14;1.72;0;1;0.81
Javan'; 'Alexander_the_Great';10;1940.94;113391.33;111450.39;115332.27;0.28;0.41;0.46;6.46;1;0;0.73
Phalanx'; 'Alexander_the_Great';35;17000;113391.33;96391.33;130391.33;0.39;0.1;0.37;5.62;0;1;0.8
Western_Roman_Empire'; 'Alexander_the_Great';22;16401;113391.33;96990.33;129792.33;0.45;0.14;0.41;5.44;1;1;0.9
Kuwait'; 'Alexander_the_Great';25;113472.17;113391.33;80.84;226863.5;0.28;0.14;0.56;10.92;1;0;0.72
Damascus'; 'Alexander_the_Great';30;46281.9;113391.33;67109.43;159673.23;0.39;0.12;0.46;7.1;1;0;0.68
