Entity Couple;Annotator;1. Would you say these entities are closely related in any way?;2. Do you already *know* the nature of the relationship?;3. Would you *be curious* in learning more about this relationship - if there were one?;Result;Surprisal;Annotation;S_corrected_Annotation
Entity Pair 2: List_of_Indian_film_actresses AND Bipasha_Basu;Anonymous User 1;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
Entity Pair 2: List_of_Indian_film_actresses AND Bipasha_Basu;Anonymous User 2;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
Entity Pair 2: List_of_Indian_film_actresses AND Bipasha_Basu;Anonymous User 3;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
Entity Pair 3: Måneskin AND Aerosmith;Anonymous User 1;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
Entity Pair 3: Måneskin AND Aerosmith;Anonymous User 2;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
Entity Pair 3: Måneskin AND Aerosmith;Anonymous User 3;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
Entity Pair 8: Sicily AND Sicilian_Mafia;Anonymous User 1;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
Entity Pair 8: Sicily AND Sicilian_Mafia;Anonymous User 2;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
Entity Pair 8: Sicily AND Sicilian_Mafia;Anonymous User 3;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
Entity Pair 9: Jaws_(film) AND Library_of_Congress;Anonymous User 1;No;DOES NOT APPLY;Yes;Serendipitous;Unexpected;1.0;1,2
Entity Pair 9: Jaws_(film) AND Library_of_Congress;Anonymous User 2;No;DOES NOT APPLY;Yes;Serendipitous;Unexpected;1.0;1,2
Entity Pair 9: Jaws_(film) AND Library_of_Congress;Anonymous User 3;No;DOES NOT APPLY;Yes;Serendipitous;Unexpected;1.0;1,2
Entity Pair 15: Darth_Vader AND Star_Wars:_Episode_I_–_The_Phantom_Menace;Anonymous User 1;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
Entity Pair 15: Darth_Vader AND Star_Wars:_Episode_I_–_The_Phantom_Menace;Anonymous User 2;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
Entity Pair 15: Darth_Vader AND Star_Wars:_Episode_I_–_The_Phantom_Menace;Anonymous User 3;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
Entity Pair 20: Sleeping_Beauty_(1959_film) AND Walt_Disney;Anonymous User 1;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
Entity Pair 20: Sleeping_Beauty_(1959_film) AND Walt_Disney;Anonymous User 2;Yes;Yes;DOES NOT APPLY;Too obvious;Expected;0.0;0
