Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval
'Anubis'; 'Tutankhamun';15;50476.52;91936.99;41460.47;142413.51;0.32;0.09;0.27;6.28;0
'Anubis'; 'Set_(deity)';959;50476.52;42212.82;8263.697;92689.34;0.38;0.5;0.15;2.34;0
'Anubis'; 'Ammit';544;50476.52;7124.7;43351.82;57601.214;0.36;0.44;0.21;0.98;1
'Anubis'; 'Khenti-Amentiu';43;50476.52;504.74;49971.78;50981.255;0.42;0.49;0.27;1
'Anubis'; 'Hathor';48;50476.52;24071.43;26405.087;74547.95;0.34;0.68;0.16;4.72;1
'Anubis'; 'Akkadian_language';30;50476.52;8645.67;41830.85;59122.185;0.22;0.26;0.55;7.26;1
'Anubis'; 'Khepri';11;50476.52;4362.11;46114.406;54838.63;0.2;0.67;0.23;2.67;1
'Anubis'; 'The_Golden_Ass';22;50476.52;3967.67;46508.85;54444.185;0.26;0.2;0.29;3.93;1
'Anubis'; 'Cynocephaly';277;50476.52;3636.32;46840.2;54112.84;0.36;0.16;0.31;1.85;0
'Anubis'; 'KV35';14;50476.52;927.37;49549.144;51403.89;0.18;0.11;0.38;8.91;1
'Anubis'; 'Four_sons_of_Horus';16;50476.52;2068.67;48407.85;52545.185;0.26;0.48;0.21;1.37;1
'Anubis'; 'Prehistoric_Egypt';27;50476.52;4253.67;46222.85;54730.185;0.35;0.18;0.24;1.75;0
'Anubis'; 'Animal_mummy';33;50476.52;1136.67;49339.85;51613.185;0.35;0.07;0.29;3.56;0
'Anubis'; 'Coptic_language';78;50476.52;7843.67;42632.85;58320.185;0.23;0.31;0.29;2.07;1
'Anubis'; 'Hor-Aha';34;50476.52;2529.47;47947.046;53005.99;0.24;0.09;0.28;5.19;0
'Anubis'; 'Hunefer';39;50476.52;832.11;49644.406;51308.63;0.25;0.09;0.38;5.49;1
'Anubis'; 'Hermes';448;50476.52;66904.42;16427.9;117380.94;0.34;0.19;0.38;2.81;1
'Anubis'; 'Sekhmet';28;50476.52;14137.37;36339.144;64613.89;0.22;0.53;0.23;1.0;1
'Anubis'; 'Weighing_scale';338;50476.52;17657.89;32818.63;68134.41;0.22;0.08;0.52;6.44;1
'Anubis'; 'Abatur';105;50476.52;368.42;50108.1;50844.935;0.14;0.49;0.38;1.58;1
'Anubis'; 'Imiut_fetish';;50476.52;712.67;49763.85;51189.185;0.33;0.48;0.3;0.03;1
'Anubis'; 'Maat';127;50476.52;18190.23;32286.287;68666.75;0.31;0.51;0.18;2.09;1
'Anubis'; 'Kebechet';1973;50476.52;2157.37;48319.144;52633.89;0.33;0.53;0.23;0.75;1
'Anubis'; 'Bastet';145;50476.52;21332.63;29143.886;71809.15;0.28;0.53;0.18;1.99;1
'Anubis'; 'Amarna_letters';11;50476.52;2317.67;48158.85;52794.185;0.11;0.13;0.33;11.57;1
'Anubis'; 'Papyrus_of_Ani';16;50476.52;1035.67;49440.85;51512.185;0.23;0.09;0.29;6.39;1
'Anubis'; 'Thoth';104;50476.52;30628.15;19848.365;81104.67;0.29;0.49;0.12;3.41;0
'Anubis'; 'Natron';21;50476.52;6638.64;43837.88;57115.156;0.12;0.1;0.45;12.77;1
'Anubis'; 'Ra';760;50476.52;60448.7;9972.18;110925.22;0.3;0.49;0.19;1.34;0
'Anubis'; 'First_Dynasty_of_Egypt';86;50476.52;3313.0;47163.52;53789.52;0.31;0.12;0.22;2.02;0
'Anubis'; 'Anubias';95;50476.52;1453.68;49022.84;51930.2;0.07;0.23;0.47;6.06;1
