Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2
'Alexander_the_Great'; 'Malaria';38;113391.33;65005.71;48385.62;178397.04;0.22;0.01;0.66;15.63
'Alexander_the_Great'; 'Cassander';217;113391.33;5914.45;107476.88;119305.78;0.5;0.92;0.25;3.14
'Alexander_the_Great'; 'Leonidas_of_Epirus';488;113391.33;406.0;112985.33;113797.33;0.41;0.33;0.42;0.97
'Alexander_the_Great'; 'Pisidia';18;113391.33;774.87;112616.46;114166.2;0.29;0.15;0.37;5.05
'Alexander_the_Great'; 'Acropolis_of_Athens';27;113391.33;19874.0;93517.33;133265.33;0.34;0.14;0.42;6.26
'Alexander_the_Great'; 'Gates_of_Alexander';88;113391.33;1799.67;111591.66;115191.0;0.45;0.09;0.39;2.82
'Alexander_the_Great'; 'Achilles_and_Patroclus';346;113391.33;5402.33;107989.0;118793.66;0.29;0.01;0.43;5.25
'Alexander_the_Great'; 'Seleucid_Empire';402;113391.33;14381.67;99009.66;127773.0;0.48;0.14;0.2;0.14
'Alexander_the_Great'; 'Rome';20;113391.33;129003.51;15612.18;242394.84;0.49;0.14;0.68;9.29
'Alexander_the_Great'; 'Elateia';14;113391.33;191.04;113200.29;113582.37;0.27;0.13;0.41;5.67
'Alexander_the_Great'; 'Troy';77;113391.33;31346.33;82045.0;144737.66;0.38;0.01;0.36;5.65
'Alexander_the_Great'; 'Siege_of_Cyropolis';96;113391.33;144.0;113247.33;113535.33;0.39;0.09;0.25;1.27
'Alexander_the_Great'; 'Eratosthenes';37;113391.33;24476.87;88914.46;137868.2;0.35;0.29;0.36;2.73
'Alexander_the_Great'; 'Battle_of_Issus';927;113391.33;3329.33;110062.0;116720.66;0.59;0.1;0.21;0.35
'Alexander_the_Great'; 'Josephus';17;113391.33;17907.43;95483.9;131298.76;0.31;0.34;0.35;3.04
'Alexander_the_Great'; 'Halicarnassus';48;113391.33;4468.95;108922.38;117860.28;0.39;0.12;0.32;3.0
'Alexander_the_Great'; 'Priene';16;113391.33;1171.96;112219.37;114563.29;0.36;0.12;0.36;4.73
'Alexander_the_Great'; 'Issue_(genealogy)';135;113391.33;560.34;112830.99;113951.67;0.14;0.01;0;1.34
'Alexander_the_Great'; 'Babylon';4385;113391.33;127920.35;14529.02;241311.68;0.42;0.13;0.23;0.67
'Alexander_the_Great'; 'Babylon';4385;113391.33;127920.35;14529.02;241311.68;0.42;0.13;0.23;0.67
'Alexander_the_Great'; 'Tutankhamun';18;113391.33;91936.99;21454.34;205328.32;0.41;0.69;0.45;0.0
'Alexander_the_Great'; 'Sparta';105;113391.33;41844.0;71547.33;155235.33;0.47;0.12;0.27;1.38
'Alexander_the_Great'; 'Historiography_of_Alexander_the_Great';311;113391.33;664.67;112726.66;114056.0;0.7;0.01;0.34;0.75
'Alexander_the_Great'; 'Boeotia';11;113391.33;6172.57;107218.76;119563.9;0.41;0.16;0.33;4.12
'Alexander_the_Great'; 'Seleucia';16;113391.33;3819.83;109571.5;117211.16;0.34;0.13;0.35;5.36
'Alexander_the_Great'; 'Athenaeus';17;113391.33;1792.42;111598.91;115183.75;0.28;0.31;0.39;3.79
'Alexander_the_Great'; 'Siege_of_Gaza';567;113391.33;438.33;112953.0;113829.66;0.48;0.09;0.24;0.5
'Alexander_the_Great'; 'Molossians';35;113391.33;1776.84;111614.49;115168.17;0.47;0.13;0.32;2.0
'Alexander_the_Great'; 'Gaza_City';152;113391.33;6224.33;107167.0;119615.66;0.33;0.13;0.33;2.99
'Alexander_the_Great'; 'Afghanistan';11;113391.33;191101.79;77710.46;304493.12;0.42;0.16;0.5;9.3
'Alexander_the_Great'; 'Cappadocian_Greeks';131;113391.33;1156.33;112235.0;114547.66;0.43;0.14;0.38;2.15
'Alexander_the_Great'; 'Selim_I';12;113391.33;6498.67;106892.66;119890.0;0.32;0.92;0.45;1.16
'Alexander_the_Great'; 'Calicheamicin';194;113391.33;797.37;112593.96;114188.7;0.28;0.1;0.63;4.93
'Alexander_the_Great'; 'Somatophylakes';22;113391.33;1078.95;112312.38;114470.28;0.28;0.11;0.34;5.26
'Alexander_the_Great'; 'Genghis_Khan';112;113391.33;101913.33;11478.0;215304.66;0.35;0.83;0.39;1.2
'Alexander_the_Great'; 'Alexander_the_Great_in_legend';140;113391.33;466.33;112925.0;113857.66;0.77;0.01;0.33;0.41
'Alexander_the_Great'; 'Fire_from_Heaven';34;113391.33;323.67;113067.66;113715.0;0.7;0.09;0.31;0.18
'Alexander_the_Great'; 'Alexander_Romance';248;113391.33;518.67;112872.66;113910.0;0.57;0.01;0.36;1.59
'Alexander_the_Great'; 'Taxila';52;113391.33;21426.67;91964.66;134818.0;0.33;0.12;0.33;4.41
'Alexander_the_Great'; 'Artemis';63;113391.33;74770.43;38620.9;188161.76;0.37;0.09;0.33;4.49
'Alexander_the_Great'; 'Harpalus';41;113391.33;514.17;112877.16;113905.5;0.37;0.37;0.37;1.18
'Alexander_the_Great'; 'Illyria';523;113391.33;11653.78;101737.55;125045.11;0.31;0.15;0.35;2.73
'Alexander_the_Great'; 'Amphipolis';74;113391.33;2820.11;110571.22;116211.44;0.42;0.12;0.31;2.16
'Alexander_the_Great'; 'Alexander_Hamilton';20;113391.33;159505.67;46114.34;272897.0;0.53;0.4;0.71;5.69
'Alexander_the_Great'; 'Makran';28;113391.33;2840.71;110550.62;116232.04;0.33;0.16;0.41;4.89
'Alexander_the_Great'; 'Delos';13;113391.33;7183.53;106207.8;120574.86;0.37;0.14;0.36;5.6
'Alexander_the_Great'; 'Null';13;113391.33;545477.78;432086.45;658869.11;0.09;0.01;0;9.56
'Alexander_the_Great'; 'Spondylitis';41;113391.33;6325.26;107066.07;119716.59;0.14;0.01;0;2.31
