Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2; Int_Hum_Eval
'Chanakya_(TV_series)'; 'Alexander_the_Great';15;1831.0;113391.33;111560.33;115222.33;0.26;0.08;0.5;14.3;1
'Great_Wall_of_China'; 'Alexander_the_Great';23;80818.67;113391.33;32572.66;194210.0;0.39;0.14;0.53;8.48;1
'Roxana'; 'Alexander_the_Great';591;14588.98;113391.33;98802.35;127980.31;0.59;0.33;0.26;1.18;1
'Akhenaten'; 'Alexander_the_Great';15;30504.74;113391.33;82886.59;143896.07;0.37;0.09;0.44;9.67;1
'Apollo'; 'Alexander_the_Great';11;117113.39;113391.33;3722.06;230504.72;0.44;0.09;0.3;5.28;1
'Pyrrho'; 'Alexander_the_Great';32;2330.0;113391.33;111061.33;115721.33;0.32;0.33;0.37;3.27;0
'Anatolian_languages'; 'Alexander_the_Great';14;2592.67;113391.33;110798.66;115984.0;0.32;0.12;0.41;9.78;1
'Classical_antiquity'; 'Alexander_the_Great';40;15062.33;113391.33;98329.0;128453.66;0.56;0.09;0.3;1.73;0
'Lighthouse_of_Alexandria'; 'Alexander_the_Great';127;20576.67;113391.33;92814.66;133968.0;0.39;0.14;0.4;4.02;1
'Pashtuns'; 'Alexander_the_Great';15;25138.29;113391.33;88253.04;138529.62;0.45;0.12;0.39;6.14;1
'Karachi'; 'Alexander_the_Great';10;64508.55;113391.33;48882.78;177899.88;0.3;0.14;0.6;15.43;1
'Central_Macedonia'; 'Alexander_the_Great';15;1372.67;113391.33;112018.66;114764.0;0.27;0.15;0.41;10.06;0
'Dhana_Nanda'; 'Alexander_the_Great';66;11795.0;113391.33;101596.33;125186.33;0.25;0.52;0.38;1.62;1
'Achaemenid_Empire'; 'Alexander_the_Great';1373;29533.0;113391.33;83858.33;142924.33;0.58;0.14;0.14;1.72;0
'Javan'; 'Alexander_the_Great';10;1940.94;113391.33;111450.39;115332.27;0.28;0.41;0.46;6.46;1
'Phalanx'; 'Alexander_the_Great';35;17000.0;113391.33;96391.33;130391.33;0.39;0.1;0.37;5.62;0
'Western_Roman_Empire'; 'Alexander_the_Great';22;16401.0;113391.33;96990.33;129792.33;0.45;0.14;0.41;5.44;1
'Kuwait'; 'Alexander_the_Great';25;113472.17;113391.33;80.84;226863.5;0.28;0.14;0.56;10.92;1
'Damascus'; 'Alexander_the_Great';30;46281.9;113391.33;67109.43;159673.23;0.39;0.12;0.46;7.1;1
'Greco-Bactrian_Kingdom'; 'Alexander_the_Great';42;8054.74;113391.33;105336.59;121446.07;0.54;0.15;0.28;0.79;0
'Macedonian_dynasty'; 'Alexander_the_Great';41;1440.0;113391.33;111951.33;114831.33;0.22;0.08;0.52;11.73;0
'Hoplite'; 'Alexander_the_Great';10;11831.58;113391.33;101559.75;125222.91;0.4;0.11;0.33;6.97;0
'Opis'; 'Alexander_the_Great';60;984.17;113391.33;112407.16;114375.5;0.33;0.13;0.34;4.86;1
'Alexandria_on_the_Indus'; 'Alexander_the_Great';17;269.33;113391.33;113122.0;113660.66;0.44;0.13;0.4;6.09;1
'Hermolaus_of_Macedon'; 'Alexander_the_Great';20;75.0;113391.33;113316.33;113466.33;0.44;0.43;0.42;1.83;1
'Mark_Antony'; 'Alexander_the_Great';39;27332.0;113391.33;86059.33;140723.33;0.44;0.37;0.33;0.5;1
'Lysippos'; 'Alexander_the_Great';38;1719.47;113391.33;111671.86;115110.8;0.35;0.42;0.39;2.04;1
'Termez'; 'Alexander_the_Great';17;1683.33;113391.33;111708.0;115074.66;0.29;0.13;0.42;9.82;1
'Damnatio_ad_bestias'; 'Alexander_the_Great';16;2424.0;113391.33;110967.33;115815.33;0.4;0.11;0.45;8.51;1
'Battle_of_Jaxartes'; 'Alexander_the_Great';31;489.33;113391.33;112902.0;113880.66;0.51;0.1;0.24;0.97;0
'Alexandria_Eschate'; 'Alexander_the_Great';39;905.0;113391.33;112486.33;114296.33;0.55;0.12;0.36;2.66;1
'Perdiccas'; 'Alexander_the_Great';74;2052.91;113391.33;111338.42;115444.24;0.42;0.59;0.25;2.61;1
'Macedonian_Wars'; 'Alexander_the_Great';12;2126.33;113391.33;111265.0;115517.66;0.43;0.1;0.38;7.34;0
'Napoleon'; 'Alexander_the_Great';718;287790.99;113391.33;174399.66;401182.32;0.46;0.29;0.51;2.43;1
'Library_of_Alexandria'; 'Alexander_the_Great';202;21222.0;113391.33;92169.33;134613.33;0.43;0.14;0.35;2.64;1
'Egyptian_hieroglyphs'; 'Alexander_the_Great';82;18909.0;113391.33;94482.33;132300.33;0.39;0.11;0.45;5.49;1
'Greco-Buddhism'; 'Alexander_the_Great';69;5264.74;113391.33;108126.59;118656.07;0.55;0.1;0.3;1.51;1
'Nicaea'; 'Alexander_the_Great';11;8081.58;113391.33;105309.75;121472.91;0.42;0.11;0.46;9.58;1
'Eternal_flame'; 'Alexander_the_Great';18;3352.0;113391.33;110039.33;116743.33;0.38;0.12;0.57;10.47;1
'Seuthes_III'; 'Alexander_the_Great';12;193.67;113391.33;113197.66;113585.0;0.32;0.55;0.4;1.72;1
'Ancient_Greek'; 'Alexander_the_Great';88;22904.0;113391.33;90487.33;136295.33;0.4;0.13;0.36;3.78;0
'Agis_III'; 'Alexander_the_Great';12;340.67;113391.33;113050.66;113732.0;0.38;0.58;0.34;1.07;1
'Sarissa'; 'Alexander_the_Great';28;4422.65;113391.33;108968.68;117813.98;0.36;0.17;0.34;4.67;1
'Pasargadae'; 'Alexander_the_Great';13;3914.29;113391.33;109477.04;117305.62;0.26;0.12;0.36;10.58;1
'Cleitus_the_Black'; 'Alexander_the_Great';168;1628.33;113391.33;111763.0;115019.66;0.45;0.58;0.3;1.51;1
'Prophets_and_messengers_in_Islam'; 'Alexander_the_Great';89;26643.0;113391.33;86748.33;140034.33;0.39;0.4;0.48;2.63;1
'Tomb_of_Alexander_the_Great'; 'Alexander_the_Great';64;3668.0;113391.33;109723.33;117059.33;0.56;0.19;0.34;1.18;0
'Companion_cavalry'; 'Alexander_the_Great';80;1307.33;113391.33;112084.0;114698.66;0.51;0.11;0.3;1.79;0
'Iran'; 'Alexander_the_Great';796;241967.26;113391.33;128575.93;355358.59;0.48;0.16;0.76;4.8;1
'Timeline_of_Jewish_history'; 'Alexander_the_Great';42;3241.33;113391.33;110150.0;116632.66;0.4;0.09;0.43;6.34;1
