Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval;ground truth (threshold 0.79);ground truth confidence values
Alexander_the_Great'; 'Cassander';217;113391.33;5914.45;107476.88;119305.78;0.5;0.92;0.25;4.04;1;1;0.86
Alexander_the_Great'; 'Leonidas_of_Epirus';488;113391.33;406;112985.33;113797.33;0.41;0.33;0.42;1.69;1;1;0.88
Alexander_the_Great'; 'Pisidia';18;113391.33;774.87;112616.46;114166.2;0.29;0.15;0.37;8.06;1;1;0.82
Alexander_the_Great'; 'Acropolis_of_Athens';27;113391.33;19874;93517.33;133265.33;0.34;0.14;0.42;7.2;0;1;0.82
Alexander_the_Great'; 'Gates_of_Alexander';88;113391.33;1799.67;111591.66;115191;0.45;0.09;0.39;4.09;1;1;0.84
Alexander_the_Great'; 'Seleucid_Empire';402;113391.33;14381.67;99009.66;127773;0.48;0.14;0.2;0.17;0;1;0.84
Alexander_the_Great'; 'Rome';20;113391.33;129003.51;15612.18;242394.84;0.49;0.14;0.68;9.38;1;1;0.82
Alexander_the_Great'; 'Elateia';14;113391.33;191.04;113200.29;113582.37;0.27;0.13;0.41;10.89;1;1;0.8
Alexander_the_Great'; 'Siege_of_Cyropolis';96;113391.33;144;113247.33;113535.33;0.39;0.09;0.25;2.54;0;0;0.68
Alexander_the_Great'; 'Eratosthenes';37;113391.33;24476.87;88914.46;137868.2;0.35;0.29;0.36;3.09;1;0;0.77
Alexander_the_Great'; 'Battle_of_Issus';927;113391.33;3329.33;110062;116720.66;0.59;0.1;0.21;0.48;0;0;0.79
Alexander_the_Great'; 'Josephus';17;113391.33;17907.43;95483.9;131298.76;0.31;0.34;0.35;3.53;0;1;0.8
Alexander_the_Great'; 'Halicarnassus';48;113391.33;4468.95;108922.38;117860.28;0.39;0.12;0.32;3.96;1;1;0.82
Alexander_the_Great'; 'Priene';16;113391.33;1171.96;112219.37;114563.29;0.36;0.12;0.36;7.2;1;0;0.7
Alexander_the_Great'; 'Babylon';4385;113391.33;127920.35;14529.02;241311.68;0.42;0.13;0.23;0.67;0;0;0.7
Alexander_the_Great'; 'Sparta';105;113391.33;41844;71547.33;155235.33;0.47;0.12;0.27;1.49;0;1;0.86
Alexander_the_Great'; 'Boeotia';11;113391.33;6172.57;107218.76;119563.9;0.41;0.16;0.33;5.27;1;1;0.88
Alexander_the_Great'; 'Seleucia';16;113391.33;3819.83;109571.5;117211.16;0.34;0.13;0.35;7.19;0;1;0.86
Alexander_the_Great'; 'Athenaeus';17;113391.33;1792.42;111598.91;115183.75;0.28;0.31;0.39;5.5;1;1;0.86
Alexander_the_Great'; 'Siege_of_Gaza';567;113391.33;438.33;112953;113829.66;0.48;0.09;0.24;0.85;0;0;0.79
Alexander_the_Great'; 'Molossians';35;113391.33;1776.84;111614.49;115168.17;0.47;0.13;0.32;2.91;0;1;0.84
Alexander_the_Great'; 'Gaza_City';152;113391.33;6224.33;107167;119615.66;0.33;0.13;0.33;3.82;1;0;0.77
Alexander_the_Great'; 'Afghanistan';11;113391.33;191101.79;77710.46;304493.12;0.42;0.16;0.5;9.67;1;0;0.78
