Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2
WBOS';WRCA';12;342.63;267.46;75.17;610.08;0.36;1;-0.04;16.38
Nana_Mizuki';OS-tan';15;3039;1976.84;1062.16;5015.84;0.13;0.08;0.42;12.63
Wikipedia';David_Berkowitz';35;404632.57;46370;358262.57;451002.57;0.26;0.12;0.64;10.95
WBZ-FM';WRCA';16;1746.84;267.46;1479.37;2014.3;0.27;1;0.01;10.61
Slasher_film';David_Berkowitz';13;11977;46370;34393;58347;0.31;0.15;0.56;10.49
WNBP';WRCA';10;160.53;267.46;106.928;427.99;0.43;1;0.08;9.34
Unity_(game_engine)';OS-tan';118;15870.67;1976.84;13893.83;17847.51;0.12;0.08;0.62;8.84
2005_Wisconsin_Badgers_football_team';2005_Penn_State_Nittany_Lions_football_team';12;246;736.33;490.334;982.33;0.27;1;0.07;8.79
Esperanza_Fire';David_Berkowitz';12;666.33;46370;45703.67;47036.33;0.23;0.09;0.38;8.34
Cate_Blanchett';Australian_Film_Institute';22;69962.33;310.67;69651.66;70273;0.13;0.1;0.38;7.91
The_Pretender_(Foo_Fighters_song)';Miracle_(Foo_Fighters_song)';23;1331.33;104;1227.33;1435.33;0.55;1;0.07;7.06
1960_Major_League_Baseball_All-Star_Game_(first_game)';1959_Major_League_Baseball_All-Star_Game_(second_game)';31;119.33;158.67;39.339;278;0.84;0.77;0.07;6.75
1993–94_Winnipeg_Jets_season';1994–95_Winnipeg_Jets_season';21;56.33;65;8.67;121.33;0.7;1;0.08;6.72
Emily_Browning';Australian_Film_Institute';29;18443;310.67;18132.33;18753.67;0.17;0.09;0.38;6.64
Brockage';Mint-made_errors';18;142.11;2645.33;2503.22;2787.44;0.42;1;0.11;6.45
Orange_Bowl';2005_Penn_State_Nittany_Lions_football_team';14;9226.33;736.33;8490;9962.66;0.26;0.11;0.35;6.43
Eric_Bana';Australian_Film_Institute';21;45139.67;310.67;44829;45450.34;0.18;0.11;0.34;6.24
SC_Germania_Hamburg';SC_Internacional_(SP)';15;92.67;78.42;14.25;171.09;0.25;1;0.09;6.13
Helmuth_von_Moltke_the_Elder';Treaty_of_Vienna_(1864)';22;5016.33;404.67;4611.66;5421;0.17;0.08;0.25;5.9
Mel_Gibson';Australian_Film_Institute';48;84735;310.67;84424.33;85045.67;0.18;0.09;0.41;5.88
